ID,Title,Genre,SinopsisPalabra,Sinopsis
6682,11eyes,Action.Ecchi.Supernatural.SuperPower,"When.the.Sky.turns.Red,.the.Moon.turns.Black,.and.monsters.begin.roaming.the.streets,.Satsuki.Kakeru.is.at.a.loss.for.what.to.do..Along.with.his.best.friend.Yuka,.they.try.to.decipher.why.they.have.been.sent.to.this.strange.world,.which.is.seemingly.empty.aside.from.themselves..However,.when.the.""Red.Night"".ends,.Kakeru.and.Yuka.believed.it.was.all.a.dream,.until.it.happens.again.and.they.are.left.in.a.dangerous.situation..They.meet.four.others.in.the.same.predicament:.Kusakabe.Misuzu,.an.expert.swordswoman,.Tachibana.Kukuri,.a.strange.mute.girl.who.looks.uncannily.like.Kakeru's.deceased.sister,.Hirohara.Yukiko,.a.lively.young.girl.whose.personality.reverts.to.that.of.a.cold.killer.when.her.glasses.are.removed,.and.Tajima.Takahisa,.a.young.pyrokineticist..As.the.six.of.them.band.together.to.survive.and.discover.what.this.mysterious.world.is,.things.take.a.turn.for.the.worse.as.six.shadows.appear.before.them....[Written.by.MAL.Rewrite]","When the Sky turns Red, the Moon turns Black, and monsters begin roaming the streets, Satsuki Kakeru is at a loss for what to do. Along with his best friend Yuka, they try to decipher why they have been sent to this strange world, which is seemingly empty aside from themselves. However, when the ""Red Night"" ends, Kakeru and Yuka believed it was all a dream, until it happens again and they are left in a dangerous situation. They meet four others in the same predicament: Kusakabe Misuzu, an expert swordswoman, Tachibana Kukuri, a strange mute girl who looks uncannily like Kakeru's deceased sister, Hirohara Yukiko, a lively young girl whose personality reverts to that of a cold killer when her glasses are removed, and Tajima Takahisa, a young pyrokineticist. As the six of them band together to survive and discover what this mysterious world is, things take a turn for the worse as six shadows appear before them... [Written by MAL Rewrite]"
31646,3-gatsu no Lion,Drama.SliceofLife,"Having.reached.professional.status.in.middle.school,.Rei.Kiriyama.is.one.of.the.few.elite.in.the.world.of.shogi..Due.to.this,.he.faces.an.enormous.amount.of.pressure,.both.from.the.shogi.community.and.his.adoptive.family..Seeking.independence.from.his.tense.home.life,.he.moves.into.an.apartment.in.Tokyo..As.a.17-year-old.living.on.his.own,.Rei.tends.to.take.poor.care.of.himself,.and.his.reclusive.personality.ostracizes.him.from.his.peers.in.school.and.at.the.shogi.hall..However,.not.long.after.his.arrival.in.Tokyo,.Rei.meets.Akari,.Hinata,.and.Momo.Kawamoto,.a.trio.of.sisters.living.with.their.grandfather.who.owns.a.traditional.wagashi.shop..Akari,.the.oldest.of.the.three.girls,.is.determined.to.combat.Rei's.loneliness.and.poorly.sustained.lifestyle.with.motherly.hospitality..The.Kawamoto.sisters,.coping.with.past.tragedies,.also.share.with.Rei.a.unique.familial.bond.that.he.has.lacked.for.most.of.his.life..As.he.struggles.to.maintain.himself.physically.and.mentally.through.his.shogi.career,.Rei.must.learn.how.to.interact.with.others.and.understand.his.own.complex.emotions..[Written.by.MAL.Rewrite]","Having reached professional status in middle school, Rei Kiriyama is one of the few elite in the world of shogi. Due to this, he faces an enormous amount of pressure, both from the shogi community and his adoptive family. Seeking independence from his tense home life, he moves into an apartment in Tokyo. As a 17-year-old living on his own, Rei tends to take poor care of himself, and his reclusive personality ostracizes him from his peers in school and at the shogi hall. However, not long after his arrival in Tokyo, Rei meets Akari, Hinata, and Momo Kawamoto, a trio of sisters living with their grandfather who owns a traditional wagashi shop. Akari, the oldest of the three girls, is determined to combat Rei's loneliness and poorly sustained lifestyle with motherly hospitality. The Kawamoto sisters, coping with past tragedies, also share with Rei a unique familial bond that he has lacked for most of his life. As he struggles to maintain himself physically and mentally through his shogi career, Rei must learn how to interact with others and understand his own complex emotions. [Written by MAL Rewrite]"
38101,5-toubun no Hanayome,Comedy.Romance,"Fuutarou.Uesugi.is.an.ace.high.school.student,.but.leads.an.otherwise.tough.life..His.standoffish.personality.and.reclusive.nature.have.left.him.friendless,.and.his.father.is.debt-ridden,.forcing.his.family.to.scrape.by..One.day.during.his.lunch.break,.Uesugi.argues.with.a.female.transfer.student.who.has.claimed.""his.seat,"".leading.both.of.them.to.dislike.each.other..That.same.day,.he.is.presented.with.a.golden.opportunity.to.clear.his.family's.debt:.a.private.tutoring.gig.for.a.wealthy.family's.daughter,.with.a.wage.of.five.times.the.market.price..He.accepts.the.proposal,.but.is.horrified.to.discover.that.the.client,.Itsuki.Nakano,.is.the.girl.he.confronted.earlier!.After.unsuccessfully.trying.to.get.back.on.Itsuki's.good.side,.Uesugi.finds.out.that.his.problems.don't.end.there:.Itsuki.is.actually.a.quintuplet,.so.in.addition.to.her,.he.must.also.tutor.her.sisters—Miku,.Yotsuba,.Nino,.and.Ichika—who,.despite.the.very.real.threat.of.flunking,.want.nothing.to.do.with.a.tutor..However,.his.family's.livelihood.is.on.the.line.so.Uesugi.pushes.on,.adamant.in.his.resolve.to.rid.the.sisters.of.their.detest.for.studying.and.successfully.lead.them.to.graduation..[Written.by.MAL.Rewrite]","Fuutarou Uesugi is an ace high school student, but leads an otherwise tough life. His standoffish personality and reclusive nature have left him friendless, and his father is debt-ridden, forcing his family to scrape by. One day during his lunch break, Uesugi argues with a female transfer student who has claimed ""his seat,"" leading both of them to dislike each other. That same day, he is presented with a golden opportunity to clear his family's debt: a private tutoring gig for a wealthy family's daughter, with a wage of five times the market price. He accepts the proposal, but is horrified to discover that the client, Itsuki Nakano, is the girl he confronted earlier! After unsuccessfully trying to get back on Itsuki's good side, Uesugi finds out that his problems don't end there: Itsuki is actually a quintuplet, so in addition to her, he must also tutor her sisters—Miku, Yotsuba, Nino, and Ichika—who, despite the very real threat of flunking, want nothing to do with a tutor. However, his family's livelihood is on the line so Uesugi pushes on, adamant in his resolve to rid the sisters of their detest for studying and successfully lead them to graduation. [Written by MAL Rewrite]"
41457,86,Action.Drama.Mecha.Military.Sci.Fi,"According.to.the.Republic.of.San.Magnolia,.their.ongoing.war.against.the.Giadian.Empire.has.no.casualties—however,.that.is.mere.propaganda..While.the.silver-haired.Alba.of.the.Republic's.eighty-five.sectors.live.safely.behind.protective.walls,.those.of.different.appearances.are.interned.in.a.secret.eighty-sixth.faction..Known.within.the.military.as.the.Eighty-Six,.they.are.forced.to.fight.against.the.Empire's.autonomous.Legion.under.the.command.of.the.Republican.""Handlers."".Vladilena.Milizé.is.assigned.to.the.Spearhead.squadron.to.replace.their.previous.Handler..Shunned.by.her.peers.for.being.a.fellow.Eighty-Six.supporter,.she.continues.to.fight.against.their.inhumane.discrimination..Shinei.Nouzen.is.the.captain.of.the.Spearhead.squadron..Infamous.for.being.the.sole.survivor.of.every.squadron.he's.been.in,.he.insists.on.shouldering.the.names.and.wishes.of.his.fallen.comrades..When.the.fates.of.these.young.souls.from.two.different.worlds.collide,.will.it.ignite.the.spark.that.lights.their.path.to.salvation,.or.will.they.burn.themselves.in.the.flames.of.despair?.[Written.by.MAL.Rewrite]","According to the Republic of San Magnolia, their ongoing war against the Giadian Empire has no casualties—however, that is mere propaganda. While the silver-haired Alba of the Republic's eighty-five sectors live safely behind protective walls, those of different appearances are interned in a secret eighty-sixth faction. Known within the military as the Eighty-Six, they are forced to fight against the Empire's autonomous Legion under the command of the Republican ""Handlers."" Vladilena Milizé is assigned to the Spearhead squadron to replace their previous Handler. Shunned by her peers for being a fellow Eighty-Six supporter, she continues to fight against their inhumane discrimination. Shinei Nouzen is the captain of the Spearhead squadron. Infamous for being the sole survivor of every squadron he's been in, he insists on shouldering the names and wishes of his fallen comrades. When the fates of these young souls from two different worlds collide, will it ignite the spark that lights their path to salvation, or will they burn themselves in the flames of despair? [Written by MAL Rewrite]"
32998,91 Days,Action.Drama.Historical,"As.a.child.living.in.the.town.of.Lawless,.Angelo.Lagusa.has.witnessed.a.tragedy:.his.parents.and.younger.brother.have.been.mercilessly.slaughtered.by.the.Vanetti.mafia.family..Losing.everything.he.holds.dear,.he.leaves.both.his.name.and.hometown.behind,.adopting.the.new.identity.of.Avilio.Bruno..Seven.years.later,.Avilio.finally.has.his.chance.for.revenge.when.he.receives.a.mysterious.letter.prompting.him.to.return.to.Lawless..Obliging,.he.soon.encounters.the.Vanetti.don's.son,.Nero,.and.seeks.to.befriend.him.using.the.skills.he.has.quietly.honed.for.years..Set.during.the.Prohibition.era,.91.Days.tells.the.story.of.Avilio's.dark,.bloodstained.path.to.vengeance,.as.he.slowly.ends.each.of.the.men.involved.in.the.killing.of.his.family..[Written.by.MAL.Rewrite]","As a child living in the town of Lawless, Angelo Lagusa has witnessed a tragedy: his parents and younger brother have been mercilessly slaughtered by the Vanetti mafia family. Losing everything he holds dear, he leaves both his name and hometown behind, adopting the new identity of Avilio Bruno. Seven years later, Avilio finally has his chance for revenge when he receives a mysterious letter prompting him to return to Lawless. Obliging, he soon encounters the Vanetti don's son, Nero, and seeks to befriend him using the skills he has quietly honed for years. Set during the Prohibition era, 91 Days tells the story of Avilio's dark, bloodstained path to vengeance, as he slowly ends each of the men involved in the killing of his family. [Written by MAL Rewrite]"
33337,ACCA: 13-ku Kansatsu-ka,Drama.Fantasy.Mystery.Police,"ACCA—a.national.body.of.the.kingdom.of.Dowa.that.provides.public.services.to.the.citizens.of.the.country—was.established.as.part.of.the.peace.settlement.between.the.king.of.Dowa.and.the.13.states.of.the.country.during.a.revolt..One.hundred.years.later,.Dowa.is.in.a.period.of.unprecedented.peace,.due.in.part.to.the.ACCA.system..However,.rumors.of.a.coup.d'état.start.to.surface..Jean.Otus,.the.second-in-command.of.the.inspection.department.of.ACCA,.is.charged.with.inspecting.all.13.state.branches..What.will.he.discover.as.he.performs.his.audit?.Intriguing.and.mysterious,.ACCA:.13-ku.Kansatsu-ka.is.a.politically-themed.mystery.that.reveals.a.world.of.diverse.cultures.and.lifestyles,.with.intricate.connections.between.its.characters,.as.the.truth.of.the.coup.d'état.slowly.unfolds..[Written.by.MAL.Rewrite]","ACCA—a national body of the kingdom of Dowa that provides public services to the citizens of the country—was established as part of the peace settlement between the king of Dowa and the 13 states of the country during a revolt. One hundred years later, Dowa is in a period of unprecedented peace, due in part to the ACCA system. However, rumors of a coup d'état start to surface. Jean Otus, the second-in-command of the inspection department of ACCA, is charged with inspecting all 13 state branches. What will he discover as he performs his audit? Intriguing and mysterious, ACCA: 13-ku Kansatsu-ka is a politically-themed mystery that reveals a world of diverse cultures and lifestyles, with intricate connections between its characters, as the truth of the coup d'état slowly unfolds. [Written by MAL Rewrite]"
36904,Aggressive Retsuko (ONA),Comedy.SliceofLife,"Some.offices.have.stereotypical.dynamics:.the.chauvinistic.pig.of.a.boss.who.never.does.any.real.work;.the.employees.whose.goal.is.to.suck.up.to.the.boss;.the.ones.whose.lives.seem.perfect;.and.the.individuals.who.have.all.the.actual.work.pushed.onto.them..Retsuko.the.red.panda.is.in.the.last.group,.as.she.stays.late.most.nights.to.make.up.the.work.her.coworkers.are.too.lazy.to.do.themselves..Her.relief.from.the.stress.of.her.everyday.life.comes.in.the.form.of.singing.death.metal.at.a.local.karaoke.club..Night.after.night,.Retsuko.channels.her.grief.into.a.microphone.and.considers.the.place.to.be.her.own.personal.sanctuary..But.as.she.moves.further.away.from.her.comfort.zone.and.the.ideas.people.have.of.her,.she.discovers.that.letting.others.into.her.world.of.death.metal.may.not.be.such.a.bad.thing..[Written.by.MAL.Rewrite]","Some offices have stereotypical dynamics: the chauvinistic pig of a boss who never does any real work; the employees whose goal is to suck up to the boss; the ones whose lives seem perfect; and the individuals who have all the actual work pushed onto them. Retsuko the red panda is in the last group, as she stays late most nights to make up the work her coworkers are too lazy to do themselves. Her relief from the stress of her everyday life comes in the form of singing death metal at a local karaoke club. Night after night, Retsuko channels her grief into a microphone and considers the place to be her own personal sanctuary. But as she moves further away from her comfort zone and the ideas people have of her, she discovers that letting others into her world of death metal may not be such a bad thing. [Written by MAL Rewrite]"
31580,Ajin,Action.Horror.Mystery.Supernatural,"Mysterious.immortal.humans.known.as.""Ajin"".first.appeared.17.years.ago.in.Africa..Upon.their.discovery,.they.were.labeled.as.a.threat.to.mankind,.as.they.might.use.their.powers.for.evil.and.were.incapable.of.being.destroyed..Since.then,.whenever.an.Ajin.is.found.within.society,.they.are.to.be.arrested.and.taken.into.custody.immediately..Studying.hard.to.become.a.doctor,.Kei.Nagai.is.a.high.schooler.who.knows.very.little.about.Ajin,.only.having.seen.them.appear.in.the.news.every.now.and.then..Students.are.taught.that.these.creatures.are.not.considered.to.be.human,.but.Kei.doesn't.pay.much.attention.in.class..As.a.result,.his.perilously.little.grasp.on.this.subject.proves.to.be.completely.irrelevant.when.he.survives.an.accident.that.was.supposed.to.claim.his.life,.signaling.his.rebirth.as.an.Ajin.and.the.start.of.his.days.of.torment..However,.as.he.finds.himself.alone.on.the.run.from.the.entire.world,.Kei.soon.realizes.that.more.of.his.species.may.be.a.lot.closer.than.he.thinks..[Written.by.MAL.Rewrite]","Mysterious immortal humans known as ""Ajin"" first appeared 17 years ago in Africa. Upon their discovery, they were labeled as a threat to mankind, as they might use their powers for evil and were incapable of being destroyed. Since then, whenever an Ajin is found within society, they are to be arrested and taken into custody immediately. Studying hard to become a doctor, Kei Nagai is a high schooler who knows very little about Ajin, only having seen them appear in the news every now and then. Students are taught that these creatures are not considered to be human, but Kei doesn't pay much attention in class. As a result, his perilously little grasp on this subject proves to be completely irrelevant when he survives an accident that was supposed to claim his life, signaling his rebirth as an Ajin and the start of his days of torment. However, as he finds himself alone on the run from the entire world, Kei soon realizes that more of his species may be a lot closer than he thinks. [Written by MAL Rewrite]"
22199,Akame ga Kill!,Action.Adventure.Drama.Fantasy,"Night.Raid.is.the.covert.assassination.branch.of.the.Revolutionary.Army,.an.uprising.assembled.to.overthrow.Prime.Minister.Honest,.whose.avarice.and.greed.for.power.has.led.him.to.take.advantage.of.the.child.emperor's.inexperience..Without.a.strong.and.benevolent.leader,.the.rest.of.the.nation.is.left.to.drown.in.poverty,.strife,.and.ruin..Though.the.Night.Raid.members.are.all.experienced.killers,.they.understand.that.taking.lives.is.far.from.commendable.and.that.they.will.likely.face.retribution.as.they.mercilessly.eliminate.anyone.who.stands.in.the.revolution's.way..This.merry.band.of.assassins'.newest.member.is.Tatsumi,.a.naïve.boy.from.a.remote.village.who.had.embarked.on.a.journey.to.help.his.impoverished.hometown.and.was.won.over.by.not.only.Night.Raid's.ideals,.but.also.their.resolve..Akame.ga.Kill!.follows.Tatsumi.as.he.fights.the.Empire.and.comes.face-to-face.with.powerful.weapons,.enemy.assassins,.challenges.to.his.own.morals.and.values,.and.ultimately,.what.it.truly.means.to.be.an.assassin.with.a.cause..[Written.by.MAL.Rewrite]","Night Raid is the covert assassination branch of the Revolutionary Army, an uprising assembled to overthrow Prime Minister Honest, whose avarice and greed for power has led him to take advantage of the child emperor's inexperience. Without a strong and benevolent leader, the rest of the nation is left to drown in poverty, strife, and ruin. Though the Night Raid members are all experienced killers, they understand that taking lives is far from commendable and that they will likely face retribution as they mercilessly eliminate anyone who stands in the revolution's way. This merry band of assassins' newest member is Tatsumi, a naïve boy from a remote village who had embarked on a journey to help his impoverished hometown and was won over by not only Night Raid's ideals, but also their resolve. Akame ga Kill! follows Tatsumi as he fights the Empire and comes face-to-face with powerful weapons, enemy assassins, challenges to his own morals and values, and ultimately, what it truly means to be an assassin with a cause. [Written by MAL Rewrite]"
41433,Akudama Drive,Action.Sci.Fi,"The.bustling.metropolis.of.Kansai,.where.cybernetic.screens.litter.the.neon.landscape,.may.seem.like.a.technological.utopia.at.first.glance..But.in.the.dark.alleys.around.the.brightly-lit.buildings,.an.unforgiving.criminal.underbelly.still.exists.in.the.form.of.fugitives.known.as.""Akudama."".No.stranger.to.these.individuals,.Kansai.police.begin.the.countdown.to.the.public.execution.of.an.infamous.Akudama.""Cutthroat,"".guilty.of.killing.999.people..However,.a.mysterious.message.is.sent.to.several.elite.Akudama,.enlisting.them.to.free.Cutthroat.for.a.substantial.amount.of.money..An.invisible.hand.seeks.to.gather.these.dangerous.personas.in.one.place,.ensuring.that.the.execution.is.well.underway.to.becoming.a.full-blown.bloodbath..[Written.by.MAL.Rewrite]","The bustling metropolis of Kansai, where cybernetic screens litter the neon landscape, may seem like a technological utopia at first glance. But in the dark alleys around the brightly-lit buildings, an unforgiving criminal underbelly still exists in the form of fugitives known as ""Akudama."" No stranger to these individuals, Kansai police begin the countdown to the public execution of an infamous Akudama ""Cutthroat,"" guilty of killing 999 people. However, a mysterious message is sent to several elite Akudama, enlisting them to free Cutthroat for a substantial amount of money. An invisible hand seeks to gather these dangerous personas in one place, ensuring that the execution is well underway to becoming a full-blown bloodbath. [Written by MAL Rewrite]"
34350,Alice to Zouroku,Adventure.Mystery,"Sana.is.not.an.ordinary.little.girl;.she.possesses.a.special.ability.known.as.""Alice's.Dream."".Due.to.her.power,.which.allows.her.to.create.anything.from.her.imagination,.all.that.she.knows.is.the.laboratory.where.she.is.a.test.subject..Wishing.to.experience.the.outside.world,.she.escapes.and.meets.a.stubborn.old.florist.named.Zouroku.Kashimura.in.a.convenience.store..All.too.soon,.her.pursuers.catch.up.and.Zouroku.is.roped.into.Sana's.troubles..However,.far.from.trying.to.distance.himself,.Zouroku.extends.a.hand.to.help.Sana..Following.his.values.and.sense.of.justice,.he.even.gives.the.pursuers.a.piece.of.his.mind!.Zouroku.then.offers.Sana.a.place.to.stay,.beginning.the.daily.life.and.struggles.of.the.unlikely.duo..[Written.by.MAL.Rewrite]","Sana is not an ordinary little girl; she possesses a special ability known as ""Alice's Dream."" Due to her power, which allows her to create anything from her imagination, all that she knows is the laboratory where she is a test subject. Wishing to experience the outside world, she escapes and meets a stubborn old florist named Zouroku Kashimura in a convenience store. All too soon, her pursuers catch up and Zouroku is roped into Sana's troubles. However, far from trying to distance himself, Zouroku extends a hand to help Sana. Following his values and sense of justice, he even gives the pursuers a piece of his mind! Zouroku then offers Sana a place to stay, beginning the daily life and struggles of the unlikely duo. [Written by MAL Rewrite]"
31588,All Out!!,School.Sports,"Rugby.is.a.sport.where.anybody.can.be.a.star.when.they.hold.the.ball..The.rules.are.simple:.one.player.has.to.carry.the.ball.past.the.goalposts.across.the.field.while.avoiding.the.other.team,.who.are.allowed.to.use.all.their.force.to.knock.the.enemy.down..However,.the.player.can.pass.to.a.teammate.behind.them.or.kick.the.ball.before.they.are.tackled..Unlike.other.sports,.the.game.continues.even.when.the.person.holding.the.ball.is.taken.down..Kenji.Gion.is.a.short.but.feisty.high.school.freshman.at.Kanagawa.High.School..Right.after.the.school's.opening.ceremony,.he.meets.the.tall.and.timid.Sumiaki.Iwashimizu,.and.the.two.of.them.get.an.invitation.to.observe.the.rugby.club..When.Gion.watches.the.match,.he.realizes.that.even.though.big.and.tall.guys.have.an.advantage,.there.are.positions.for.people.of.all.shapes.and.sizes..Immediately.convinced.that.he.has.found.a.sport.he.can.excel.at.despite.his.short.stature,.he.signs.up,.though.Iwashimizu.declines..Gion.is.unable.to.accept.Iwashimizu's.excuses.and.drags.him.back.into.the.sport..Their.training.becomes.intense.as.they.aim.to.become.the.champions.of.Hanazono,.the.national.high.school.rugby.championships..[Written.by.MAL.Rewrite]","Rugby is a sport where anybody can be a star when they hold the ball. The rules are simple: one player has to carry the ball past the goalposts across the field while avoiding the other team, who are allowed to use all their force to knock the enemy down. However, the player can pass to a teammate behind them or kick the ball before they are tackled. Unlike other sports, the game continues even when the person holding the ball is taken down. Kenji Gion is a short but feisty high school freshman at Kanagawa High School. Right after the school's opening ceremony, he meets the tall and timid Sumiaki Iwashimizu, and the two of them get an invitation to observe the rugby club. When Gion watches the match, he realizes that even though big and tall guys have an advantage, there are positions for people of all shapes and sizes. Immediately convinced that he has found a sport he can excel at despite his short stature, he signs up, though Iwashimizu declines. Gion is unable to accept Iwashimizu's excuses and drags him back into the sport. Their training becomes intense as they aim to become the champions of Hanazono, the national high school rugby championships. [Written by MAL Rewrite]"
6547,Angel Beats!,Action.Comedy.Drama.School.Supernatural,"Death.is.one.of.many.mysteries.that.has.left.humanity.in.the.dark.since.the.dawn.of.time..However,.the.burning.question.of.what.happens.to.the.soul.after.one.dies.is.soon.answered.to.17-year-old.Yuzuru.Otonashi..Waking.up.with.no.previous.memories.in.a.dimension.between.life.and.death,.he.discovers.the.unsettling.truth.of.the.afterlife..Taking.the.form.of.a.high.school,.this.bizarre.dimension.is.designated.to.shelter.those.who.died.unwanted.deaths..Feeling.wronged.by.God.during.their.earthly.lives,.the.school's.residents.have.decided.to.form.the.Afterlife.Battlefront—a.rebellious.faction.determined.to.oppose.their.god-like.student.council.president,.Kanade.""Angel"".Tachibana..The.group's.leader,.Yuri.Nakamura,.recruits.Otonashi.in.their.fight.against.Angel.in.order.to.take.control.of.their.own.lives..However,.questioning.the.morality.behind.their.actions,.Otonashi.takes.a.step.behind.the.enemy.lines.to.understand.the.opposing.side.of.their.common.fate..[Written.by.MAL.Rewrite]","Death is one of many mysteries that has left humanity in the dark since the dawn of time. However, the burning question of what happens to the soul after one dies is soon answered to 17-year-old Yuzuru Otonashi. Waking up with no previous memories in a dimension between life and death, he discovers the unsettling truth of the afterlife. Taking the form of a high school, this bizarre dimension is designated to shelter those who died unwanted deaths. Feeling wronged by God during their earthly lives, the school's residents have decided to form the Afterlife Battlefront—a rebellious faction determined to oppose their god-like student council president, Kanade ""Angel"" Tachibana. The group's leader, Yuri Nakamura, recruits Otonashi in their fight against Angel in order to take control of their own lives. However, questioning the morality behind their actions, Otonashi takes a step behind the enemy lines to understand the opposing side of their common fate. [Written by MAL Rewrite]"
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Drama.SliceofLife.Supernatural,"Jinta.Yadomi.is.peacefully.living.as.a.recluse,.spending.his.days.away.from.school.and.playing.video.games.at.home.instead..One.hot.summer.day,.his.childhood.friend,.Meiko.""Menma"".Honma,.appears.and.pesters.him.to.grant.a.forgotten.wish..He.pays.her.no.mind,.which.annoys.her,.but.he.doesn't.really.care..After.all,.Menma.already.died.years.ago..At.first,.Jinta.thinks.that.he.is.merely.hallucinating.due.to.the.summer.heat,.but.he.is.later.on.convinced.that.what.he.sees.truly.is.the.ghost.of.Menma..Jinta.and.his.group.of.childhood.friends.grew.apart.after.her.untimely.death,.but.they.are.drawn.together.once.more.as.they.try.to.lay.Menma's.spirit.to.rest..Re-living.their.pain.and.guilt,.will.they.be.able.to.find.the.strength.to.help.not.only.Menma.move.on—but.themselves.as.well?.[Written.by.MAL.Rewrite]","Jinta Yadomi is peacefully living as a recluse, spending his days away from school and playing video games at home instead. One hot summer day, his childhood friend, Meiko ""Menma"" Honma, appears and pesters him to grant a forgotten wish. He pays her no mind, which annoys her, but he doesn't really care. After all, Menma already died years ago. At first, Jinta thinks that he is merely hallucinating due to the summer heat, but he is later on convinced that what he sees truly is the ghost of Menma. Jinta and his group of childhood friends grew apart after her untimely death, but they are drawn together once more as they try to lay Menma's spirit to rest. Re-living their pain and guilt, will they be able to find the strength to help not only Menma move on—but themselves as well? [Written by MAL Rewrite]"
11111,Another,Horror.Mystery.School.Supernatural.Thriller,"In.class.3-3.of.Yomiyama.North.Junior.High,.transfer.student.Kouichi.Sakakibara.makes.his.return.after.taking.a.sick.leave.for.the.first.month.of.school..Among.his.new.classmates,.he.is.inexplicably.drawn.toward.Mei.Misaki—a.reserved.girl.with.an.eyepatch.whom.he.met.in.the.hospital.during.his.absence..But.none.of.his.classmates.acknowledge.her.existence;.they.warn.him.not.to.acquaint.himself.with.things.that.do.not.exist..Against.their.words.of.caution,.Kouichi.befriends.Mei—soon.learning.of.the.sinister.truth.behind.his.friends'.apprehension..The.ominous.rumors.revolve.around.a.former.student.of.the.class.3-3..However,.no.one.will.share.the.full.details.of.the.grim.event.with.Kouichi..Engrossed.in.the.curse.that.plagues.his.class,.Kouichi.sets.out.to.discover.its.connection.to.his.new.friend..As.a.series.of.tragedies.arise.around.them,.it.is.now.up.to.Kouichi,.Mei,.and.their.classmates.to.unravel.the.eerie.mystery—but.doing.so.will.come.at.a.hefty.price..[Written.by.MAL.Rewrite]","In class 3-3 of Yomiyama North Junior High, transfer student Kouichi Sakakibara makes his return after taking a sick leave for the first month of school. Among his new classmates, he is inexplicably drawn toward Mei Misaki—a reserved girl with an eyepatch whom he met in the hospital during his absence. But none of his classmates acknowledge her existence; they warn him not to acquaint himself with things that do not exist. Against their words of caution, Kouichi befriends Mei—soon learning of the sinister truth behind his friends' apprehension. The ominous rumors revolve around a former student of the class 3-3. However, no one will share the full details of the grim event with Kouichi. Engrossed in the curse that plagues his class, Kouichi sets out to discover its connection to his new friend. As a series of tragedies arise around them, it is now up to Kouichi, Mei, and their classmates to unravel the eerie mystery—but doing so will come at a hefty price. [Written by MAL Rewrite]"
24833,Ansatsu Kyoushitsu,Action.Comedy.School,"Tucked.in.the.mountains.near.the.elite.Kunugigaoka.Middle.School.lies.a.small.derelict.building.that.houses.the.delinquents.and.dropouts.of.Class.3-E..Looked.down.upon.by.their.peers,.the.students.in.this.class.appear.to.have.little.hope.in.advancing.their.academic.careers..That.is,.until.the.national.government.tasks.them.with.eliminating.the.greatest.threat.to.their.planet:.their.new.teacher..Having.already.destroyed.the.moon,.the.octopus-like.professor—dubbed.""Koro-sensei""—has.now.threatened.to.destroy.the.Earth.by.March.of.the.following.year..In.light.of.their.mission,.the.students.have.found.that.killing.him.is.easier.said.than.done..Not.only.can.Koro-sensei.move.at.speeds.of.up.to.Mach.20,.but.he.can.also.resist.almost.every.earthly.weapon..Ironically,.he.also.proves.to.be.one.of.the.best.teachers.Class.3-E.has.ever.had..Training.the.class.to.excel.in.both.their.studies.as.students.and.skills.as.assassins,.Koro-sensei.is.confident.that.his.students'.ingenuity.and.indomitable.will.could.return.them.to.the.main.campus..Through.trial.and.error,.Nagisa.Shiota,.as.well.as.the.other.students.of.Class.3-E,.must.figure.out.Koro-sensei's.weaknesses—and.fast,.for.the.very.fate.of.the.world.depends.upon.it..[Written.by.MAL.Rewrite]","Tucked in the mountains near the elite Kunugigaoka Middle School lies a small derelict building that houses the delinquents and dropouts of Class 3-E. Looked down upon by their peers, the students in this class appear to have little hope in advancing their academic careers. That is, until the national government tasks them with eliminating the greatest threat to their planet: their new teacher. Having already destroyed the moon, the octopus-like professor—dubbed ""Koro-sensei""—has now threatened to destroy the Earth by March of the following year. In light of their mission, the students have found that killing him is easier said than done. Not only can Koro-sensei move at speeds of up to Mach 20, but he can also resist almost every earthly weapon. Ironically, he also proves to be one of the best teachers Class 3-E has ever had. Training the class to excel in both their studies as students and skills as assassins, Koro-sensei is confident that his students' ingenuity and indomitable will could return them to the main campus. Through trial and error, Nagisa Shiota, as well as the other students of Class 3-E, must figure out Koro-sensei's weaknesses—and fast, for the very fate of the world depends upon it. [Written by MAL Rewrite]"
